"","gene","half_life_min"
"40","DUSP1",31.1463170748169
"74","PLK2",63.1220225919017
"50","GADD45G",69.7526489030751
"38","DDIT4",76.5249440426246
"48","FOS",78.4554566145177
"61","LIF",100.691760225945
"18","BTG2",126.85537205579
"95","SIAH1",136.927408974298
"58","ING1",165.557095201359
"30","CDKN1B",167.559244026496
"12","BBC3",173.114131690133
"93","SERTAD1",178.652007862642
"81","PRKAB1",190.49328062372
"65","MDM2",192.634899507082
"6","ARID3A",194.782786873984
"41","E2F7",197.012436786259
"104","TP53INP1",197.840758115476
"49","FRMD5",203.783703573567
"20","CASP3",204.648624283907
"75","PMAIP1",213.494995680334
"8","ATF3",218.757004597639
"73","PLAGL1",222.835164631239
"94","SESN1",228.741631485554
"14","BDKRB2",232.125708692235
"26","CCNG2",245.177842599318
"79","PPM1D",247.586616799124
"60","JAK2",249.905152955086
"51","GDF15",251.268476381287
"88","RELA",265.65337861365
"59","IRF5",266.306922779098
"111","XPC",281.591309583936
"77","PMS2",287.207282550312
"102","TNFRSF10A",292.344131700178
"5","APAF1",293.439865974223
"29","CDKN1A",295.184933871335
"103","TNFRSF10B",297.771071780975
"35","CYP24A1",300.723951364201
"25","CCNG1",303.461598167643
"99","TCEAL1",308.933876087618
"80","PPM1J",311.170514743773
"106","TRIAP1",319.083786350785
"44","EPHA2",335.437109666819
"101","THBS1",337.288123167352
"19","CABLES1",338.108051457924
"76","PML",347.168905463369
"85","RABGGTA",348.565064136612
"10","BAK1",356.157601187145
"17","BTG1",359.093786456817
"69","NINJ1",365.524746620021
"71","PCBP4",366.358911418323
"37","DDB2",371.462732704039
"2","ADA",374.723550521183
"13","BCL2L1",377.353849991851
"67","MRPL27",387.636615546236
"87","RCHY1",391.040711975895
"64","MAPK8",396.720971681563
"82","PRODH",416.009873709302
"7","ASCC3",427.012554043426
"39","DKK1",435.543282285244
"27","CCNK",440.545567863669
"3","AIFM2",444.665759331237
"110","VDR",444.70898471263
"46","FAS",446.938872483091
"34","CX3CL1",466.370603632393
"70","OGG1",480.946205594301
"105","TP53TG1",481.69508859358
"45","FANCC",507.446431157844
"66","MKI67",514.57481780606
"91","RRM2B",516.466742548163
"21","CASP6",519.458142689314
"78","POLD1",558.265886666838
"31","CHMP4C",560.281975206652
"72","PCNA",564.328208143206
"47","FDXR",576.692306609652
"24","CCNA2",578.791737818215
"62","LIG1",590.653630826879
"86","RAD51",597.594782710379
"83","PTPN13",604.130836407972
"89","RPS27L",617.390914298499
"107","TRIM22",625.471923188927
"56","HTT",633.504060652238
"92","SERPINE1",644.480772783219
"23","CCNA1",652.36649070363
"22","CAV1",655.357168358788
"11","BAX",677.087938610655
"57","IGFBP3",694.852793019749
"68","NDRG1",714.330167262108
"1","ABCC1",731.440327775184
"96","SIVA1",780.059676741898
"53","GSTP1",788.556318685427
"108","TSC2",795.538927594909
"54","HIPK2",826.304154742553
"55","HNRNPUL1",828.276067887056
"98","SYK",875.647957076186
"63","LITAF",875.757788566754
"9","BAI1",954.170994209344
"16","BNIP3L",956.039562227455
"84","PYCARD",989.987338475917
"15","BID",1005.6265752382
"90","RRM1",1014.86434201182
"36","DDB1",1162.18808107904
"97","STEAP3",1182.05604726709
"28","CD82",1322.02822010512
"4","ANTXR1",1350.7975356876
"43","EI24",1454.05380844187
"109","UBE2L3",1466.96520558009
"33","CTSD",1595.97132946041
"100","TGFB1",1644.23946606106
"32","COL18A1",1759.68273511078
"52","GPNMB",2049.16844337909
"42","EEF1A1",2261.83687240186
